"Force, Time"
"1.99,0"
"1.99,1"
"1.99,1"
"1.99,1"
"1.99,2"
"1.99,2"
"1.99,3"
"1.99,9"
"1.99,17"
"1.99,26"
"1.98,35"
"1.98,45"
"1.97,54"
"1.98,64"
"1.97,73"
"1.97,82"
"1.97,92"
"1.97,101"
"1.97,111"
"1.96,121"
"1.96,133"
"1.96,143"
"1.96,153"
"1.96,163"
"1.96,174"
"1.95,184"
"1.96,194"
"1.95,205"
"1.95,216"
"1.95,226"
"1.94,236"
"1.95,246"
"1.94,257"
"1.94,268"
"1.94,278"
"1.93,288"
"1.94,299"
"1.93,309"
"1.93,319"
"1.93,330"
"1.93,340"
"1.92,351"
"1.93,361"
"1.92,371"
"1.92,381"
"1.92,392"
"1.91,403"
"1.92,413"
"1.91,423"
"1.91,434"
"1.91,444"
"1.90,454"
"1.91,465"
"1.91,476"
"1.90,486"
"1.90,496"
"1.90,506"
"1.90,517"
"1.90,527"
"1.89,538"
"1.89,548"
"1.89,559"
"1.88,569"
"1.89,579"
"1.88,589"
"1.88,601"
"1.88,611"
"1.88,621"
"1.88,631"
"1.88,642"
"1.87,652"
"1.88,663"
"1.87,673"
"1.87,684"
"1.87,694"
"1.86,704"
"1.87,714"
"1.86,724"
"1.86,736"
"1.86,746"
"1.86,756"
"1.86,766"
"1.86,777"
"1.85,787"
"1.85,798"
"1.85,808"
"1.85,819"
"1.85,829"
"1.84,839"
"1.84,849"
"1.84,860"
"1.84,871"
"1.84,881"
"1.84,891"
"1.83,902"
"1.84,912"
"1.83,922"
"1.83,933"
"1.83,944"
"1.82,954"
"1.83,964"
"1.83,974"
"1.82,985"
"1.83,996"
"1.82,1006"
"1.82,1017"
"1.82,1029"
"1.82,1040"
"1.81,1051"
"1.82,1063"
"1.81,1075"
"1.81,1086"
"1.81,1097"
"1.81,1108"
"1.80,1120"
"1.81,1132"
"1.81,1143"
"1.80,1155"
"1.80,1166"
"1.80,1177"
"1.80,1188"
"1.80,1201"
"1.80,1212"
"1.79,1223"
"1.79,1234"
"1.79,1246"
"1.79,1257"
"1.78,1269"
"1.79,1281"
"1.79,1292"
"1.78,1303"
"1.78,1314"
"1.78,1326"
"1.78,1338"
"1.78,1349"
"1.78,1360"
"1.77,1372"
"1.77,1383"
"1.77,1395"
"1.77,1406"
"1.77,1418"
"1.77,1429"
"1.76,1440"
"1.76,1452"
"1.77,1464"
"1.76,1475"
"1.76,1486"
"1.76,1498"
"1.76,1509"
"1.75,1520"
"1.76,1532"
"1.76,1544"
"1.75,1555"
"1.75,1566"
"1.75,1577"
"1.75,1589"
"1.75,1601"
"1.75,1612"
"1.74,1624"
"1.74,1635"
"1.75,1646"
"1.74,1657"
"1.74,1670"
"1.74,1681"
"1.74,1692"
"1.74,1703"
"1.74,1715"
"1.74,1726"
"1.73,1738"
"1.74,1750"
"1.74,1761"
"1.73,1772"
"1.73,1783"
"1.73,1796"
"1.73,1807"
"1.73,1818"
"1.73,1829"
"1.72,1841"
